Company Name,Symbol,Ex_Div_Date,Rec_Date,FaceValue,CMP,Div,Div_Percent
Alkyl Amines Chemicals Limited,ALKYLAMINE,2021-05-11 00:00:00,2021-05-12 00:00:00,5.0,7576.45,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 5/- PER SHARE TO RS 2/- PER SHARE,0.06599396815131098
Allsec Technologies Limited,ALLSEC,2021-05-06 00:00:00,2021-05-07 00:00:00,10.0,332.8,INTERIM DIVIDEND,0
Angel Broking Limited,ANGELBRKG,2021-04-29 00:00:00,2021-04-30 00:00:00,10.0,371.5,INTERIM DIVIDEND - RS 7.50 PER SHARE,2.0188425302826376
Aptech Limited,APTECHT,2021-05-06 00:00:00,2021-05-07 00:00:00,10.0,204.75,DIVIDEND,0
CRISIL Limited,CRISIL,2021-05-05 00:00:00,2021-05-06 00:00:00,1.0,1880.0,INTERIM DIVIDEND - RS 7 PER SHARE,0.37234042553191493
Gateway Distriparks Limited,GDL,2021-05-04 00:00:00,2021-05-05 00:00:00,10.0,205.75,INTERIM DIVIDEND - RS 5 PER SHARE,2.4301336573511545
Gillette India Limited,GILLETTE,2021-05-12 00:00:00,2021-05-14 00:00:00,10.0,5496.95,INTERIM DIVIDEND,0
HCL Technologies Limited,HCLTECH,2021-04-29 00:00:00,2021-05-01 00:00:00,2.0,924.95,INTERIM DIVIDEND - RS 6 PER SHARE SPECIAL INTERIM DIVIDEND - RS 10 PER SHARE,0.6486837126331153
Infosys Limited,INFY,2021-05-31 00:00:00,2021-06-01 00:00:00,5.0,1356.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 15 PER SHARE,1.1061131185015856
Nippon Life India Asset Management Limited,NAM-INDIA,2021-06-10 00:00:00,2021-06-11 00:00:00,10.0,341.1,DIVIDEND - RS 5  PER SHARE,1.465845793022574
NCL Industries Limited,NCLIND,2021-05-12 00:00:00,2021-05-14 00:00:00,10.0,180.85,INTERIM DIVIDEND,0
Procter & Gamble Hygiene and Health Care Limited,PGHH,2021-05-11 00:00:00,2021-05-12 00:00:00,10.0,13401.95,INTERIM DIVIDEND,0
Quick Heal Technologies Limited,QUICKHEAL,2021-04-30 00:00:00,2021-05-03 00:00:00,10.0,195.1,BUY BACK,0
Vaibhav Global Limited,VAIBHAVGBL,2021-05-07 00:00:00,2021-05-10 00:00:00,10.0,4300.0,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,0.23255813953488372
